CODIGO_MESA;CANDIDATURA;ID_PAIS;PAIS;ID_DEPARTAMENTO;DEPARTAMENTO;CIRCUNSCRIPCION_ESPECIAL;ID_PROVINCIA;PROVINCIA;SECCION;MUNICIPIO;ID_LOCALIDAD;LOCALIDAD;ID_RECINTO;RECINTO;NUMERO_MESA;INSCRITOS_HABILITADOS;CREEMOS;ADN;MAS_IPSP;FPV;PAN_BOL;LIBRE_21;CC;JUNTOS;APG;CPEM_B;CIDOB;BIA_YUQUI;CONAMAQ;OICH;ORCAWETA;YAMINAWA;VOTO_VALIDO;VOTO_BLANCO;VOTO_NULO;VOTO_EMITIDO;VOTO_VALIDO_SISTEMA;VOTO_EMITIDO_SISTEMA
27250;DIPUTADO CIRCUNSCRIPCIÓN ESPECIAL;32;Bolivia;2;La Paz;1;7;Franz Tamayo                            ;1;Apolo;313;Puchahui                                ;2529;U. E. Puchahui;2;220;2;0;99;0;2;0;6;0;0;0;0;0;0;0;0;0;109;47;3;159;109;159
27251;DIPUTADO CIRCUNSCRIPCIÓN ESPECIAL;32;Bolivia;2;La Paz;1;7;Franz Tamayo                            ;1;Apolo;313;Puchahui                                ;2529;U. E. Puchahui;3;51;0;0;14;0;1;0;0;0;0;0;0;0;0;0;0;0;15;9;1;25;15;25
27257;DIPUTADO CIRCUNSCRIPCIÓN ESPECIAL;32;Bolivia;2;La Paz;1;7;Franz Tamayo                            ;1;Apolo;3454;Correo                                  ;1;U. E. Correo;1;222;0;0;168;1;0;0;3;0;0;0;0;0;0;0;0;0;172;31;3;206;172;206
27258;DIPUTADO CIRCUNSCRIPCIÓN ESPECIAL;32;Bolivia;2;La Paz;1;7;Franz Tamayo                            ;1;Apolo;3455;Munaypata                               ;1;U. E. Munaypata;1;220;0;0;101;2;2;0;11;0;0;0;0;0;0;0;0;0;116;61;10;187;116;187
27259;DIPUTADO CIRCUNSCRIPCIÓN ESPECIAL;32;Bolivia;2;La Paz;1;7;Franz Tamayo                            ;1;Apolo;3455;Munaypata                               ;1;U. E. Munaypata;2;97;0;0;35;2;1;0;4;0;0;0;0;0;0;0;0;0;42;38;3;83;42;83
27260;DIPUTADO CIRCUNSCRIPCIÓN ESPECIAL;32;Bolivia;2;La Paz;1;7;Franz Tamayo                            ;1;Apolo;3456;Torewa I (Pueblo Antiguo)               ;1;Unidad Educativa Indigena Torewa;1;60;0;0;35;0;0;0;0;0;0;0;0;0;0;0;0;0;35;18;0;53;35;53
27889;DIPUTADO CIRCUNSCRIPCIÓN ESPECIAL;32;Bolivia;2;La Paz;1;10;Inquisivi                               ;3;Cajuata;430;Villa Barrientos (Inquisivi)            ;2621;Casa de Gobierno;1;220;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;11;5;3;19;11;19
27890;DIPUTADO CIRCUNSCRIPCIÓN ESPECIAL;32;Bolivia;2;La Paz;1;10;Inquisivi                               ;3;Cajuata;430;Villa Barrientos (Inquisivi)            ;2621;Casa de Gobierno;2;220;0;0;11;0;0;0;6;0;0;0;0;0;0;0;0;0;17;8;2;27;17;27
27891;DIPUTADO CIRCUNSCRIPCIÓN ESPECIAL;32;Bolivia;2;La Paz;1;10;Inquisivi                               ;3;Cajuata;430;Villa Barrientos (Inquisivi)            ;2621;Casa de Gobierno;3;220;0;0;10;0;0;0;3;0;0;0;0;0;0;0;0;0;13;8;0;21;13;21
27892;DIPUTADO CIRCUNSCRIPCIÓN ESPECIAL;32;Bolivia;2;La Paz;1;10;Inquisivi                               ;3;Cajuata;430;Villa Barrientos (Inquisivi)            ;2621;Casa de Gobierno;4;220;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;2;2;2
